"","ville_principale","Code","Libellé","loyer_m2","logements_vacants","med_revenu","jeunes","densite_pop","nouveaux_menages","beneficiaires_rsa","metropole","si_paris","temps_tgv_paris"
"1","Bordeaux","33004","Ambès","10.8","8.6",20490,"8","110.97","9.7","112.4","0","0",124
"2","Bordeaux","33032","Bassens","12.5","4.9",21280,"7.7","761.36","13.8","94.3","0","0",124
"3","Bordeaux","33003","Ambarès-et-Lagrave","12.1","4.5",21780,"7.7","677.34","8.9","146.2","0","0",124
"4","Bordeaux","33056","Blanquefort","12.8","3.7",24700,"8.7","474.9","11.4","84.2","0","0",124
"5","Bordeaux","33013","Artigues-près-Bordeaux","12.3","3.9",24380,"7.1","1184.25","9.9","79.7","0","0",124
"6","Bordeaux","33065","Bouliac","15.4","4.7",30540,"6.4","503.07","13","19.2","0","0",124
"7","Bordeaux","33039","Bègles","13.8","6.4",23360,"10.1","3081.3","16.2","89.7","0","0",124
"8","Bordeaux","33075","Bruges","13.4","4.8",25550,"8","1423.59","13.7","49.3","0","0",124
"9","Bordeaux","33096","Carbon-Blanc","12.7","3.1",23210,"7.3","2128.21","10.1","73.9","0","0",124
"10","Bordeaux","33119","Cenon","13.3","6.9",18920,"11.6","4868.73","16.5","137.7","0","0",124
"11","Bordeaux","33069","Le Bouscat","14.4","7.4",27570,"6.9","4592.26","11.2","61","0","0",124
"12","Bordeaux","33167","Floirac","13.5","7.8",20850,"7.3","2040.11","9.9","128.7","0","0",124
"13","Bordeaux","33192","Gradignan","14.2","4",25980,"13.1","1635.13","16.1","56.1","0","0",124
"14","Bordeaux","33200","Le Haillan","12.8","3.8",25760,"7.4","1244.3","12.5","56.8","0","0",124
"15","Bordeaux","33249","Lormont","12.8","5",18200,"9.7","3147.43","12","154.6","0","0",124
"16","Bordeaux","33273","Martignas-sur-Jalle","13.6","4.6",27750,"7.9","297.35","12.9","27.8","0","0",124
"17","Bordeaux","33281","Mérignac","14.4","3.6",24770,"10","1571.14","14.5","63.4","0","0",124
"18","Bordeaux","33063","Bordeaux","15.5","7.2",24870,"17.2","5299.68","22.2","81.3","1","0",124
"19","Bordeaux","33318","Pessac","14.2","3.8",25940,"16.6","1720.62","18.4","60.4","0","0",124
"20","Bordeaux","33376","Saint-Aubin-de-Médoc","13.3","3.2",31090,"5.9","218.53","8.2","35.2","0","0",124
"21","Bordeaux","33434","Saint-Louis-de-Montferrand","12.2","5",22090,"7.3","198.52","12","91.9","0","0",124
"22","Bordeaux","33449","Saint-Médard-en-Jalles","13.7","2.4",26740,"6.9","381.45","11.3","45.5","0","0",124
"23","Bordeaux","33487","Saint-Vincent-de-Paul","11.2","7.8",22830,"5.4","71.73","9.9","154.7","0","0",124
"24","Bordeaux","33162","Eysines","13.4","4.8",23980,"7.6","2031.17","14.9","84.2","0","0",124
"25","Bordeaux","33522","Talence","14.8","5.5",24260,"25.1","5448.8","25.5","118.1","0","0",124
"26","Bordeaux","33550","Villenave-d'Ornon","13.2","3.9",23780,"9.7","1901.41","16.1","73.2","0","0",124
"27","Bordeaux","33519","Le Taillan-Médoc","12.9","3.3",27210,"5.7","705.72","8.6","59.5","0","0",124
"28","Bordeaux","33312","Parempuyre","13","4",23910,"7","465.23","15.3","61.7","0","0",124
"29","Brest","29019","Brest","11.3","6.7",21420,"16.9","2820.59","20.4","101.4","1","0",205
"30","Brest","29061","Gouesnou","12.3","4.3",26020,"6.3","524.55","9.5","45.9","0","0",205
"31","Brest","29011","Bohars","11.3","2.6",28470,"5.5","495.21","7.9","30.5","0","0",205
"32","Brest","29189","Plougastel-Daoulas","11.3","5.5",26580,"5","287.29","7.8","37.8","0","0",205
"33","Brest","29212","Plouzané","11.8","3.1",24740,"8.8","407.04","9.9","26.3","0","0",205
"34","Brest","29069","Guilers","11.7","2.9",24640,"7","430","9.8","29.7","0","0",205
"35","Brest","29075","Guipavas","11.7","4",25310,"6.8","350.57","9.5","33.9","0","0",205
"36","Brest","29235","Le Relecq-Kerhuon","11.9","3.2",26510,"6.2","1842.34","10.1","46.4","0","0",205
"37","Clermont-Ferrand","63019","Aulnat","10.2","5.2",20610,"7.4","979.76","10.6","81.1","0","0",210
"38","Clermont-Ferrand","63042","Blanzat","11.4","6.6",25110,"5.2","537.43","7.4","42","0","0",210
"39","Clermont-Ferrand","63014","Aubière","11.5","7.4",24600,"22.9","1326.1","20.1","48.3","0","0",210
