Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
1,Bordeaux,33004,Ambès,10.8,8.6,20490.0,8.0,110.97,9.7,112.4,0,0,124,28.701,35.4666666666667,27.166,79.46666666666667
2,Bordeaux,33032,Bassens,12.5,4.9,21280.0,7.7,761.36,13.8,94.3,0,0,124,11.492,22.75,13.976,43.016666666666666
3,Bordeaux,33003,Ambarès-et-Lagrave,12.1,4.5,21780.0,7.7,677.34,8.9,146.2,0,0,124,16.169,27.65,17.339,62.95
4,Bordeaux,33056,Blanquefort,12.8,3.7,24700.0,8.7,474.9,11.4,84.2,0,0,124,13.687,25.05,13.491,59.95
5,Bordeaux,33013,Artigues-près-Bordeaux,12.3,3.9,24380.0,7.1,1184.25,9.9,79.7,0,0,124,14.597,23.2,10.714,48.46666666666667
6,Bordeaux,33065,Bouliac,15.4,4.7,30540.0,6.4,503.07,13.0,19.2,0,0,124,10.777,20.4333333333333,9.994,51.55
7,Bordeaux,33039,Bègles,13.8,6.4,23360.0,10.1,3081.3,16.2,89.7,0,0,124,6.633,19.0,6.49,42.1
8,Bordeaux,33075,Bruges,13.4,4.8,25550.0,8.0,1423.59,13.7,49.3,0,0,124,6.364,18.4833333333333,7.872,37.1
9,Bordeaux,33096,Carbon-Blanc,12.7,3.1,23210.0,7.3,2128.21,10.1,73.9,0,0,124,11.656,22.7666666666667,12.419,58.983333333333334
10,Bordeaux,33119,Cenon,13.3,6.9,18920.0,11.6,4868.73,16.5,137.7,0,0,124,8.129,20.2666666666667,8.575,41.8
11,Bordeaux,33069,Le Bouscat,14.4,7.4,27570.0,6.9,4592.26,11.2,61.0,0,0,124,3.644,12.1833333333333,4.772,27.533333333333335
12,Bordeaux,33167,Floirac,13.5,7.8,20850.0,7.3,2040.11,9.9,128.7,0,0,124,6.621,18.4333333333333,7.433,40.45
13,Bordeaux,33192,Gradignan,14.2,4.0,25980.0,13.1,1635.13,16.1,56.1,0,0,124,11.08,26.7333333333333,12.57,55.516666666666666
14,Bordeaux,33200,Le Haillan,12.8,3.8,25760.0,7.4,1244.3,12.5,56.8,0,0,124,9.671,23.7166666666667,8.754,31.266666666666666
15,Bordeaux,33249,Lormont,12.8,5.0,18200.0,9.7,3147.43,12.0,154.6,0,0,124,10.727,21.2166666666667,9.176,40.11666666666667
16,Bordeaux,33273,Martignas-sur-Jalle,13.6,4.6,27750.0,7.9,297.35,12.9,27.8,0,0,124,19.053,33.4333333333333,18.07,66.28333333333333
17,Bordeaux,33281,Mérignac,14.4,3.6,24770.0,10.0,1571.14,14.5,63.4,0,0,124,7.015,19.3166666666667,6.941,36.766666666666666
18,Bordeaux,33063,Bordeaux,15.5,7.2,24870.0,17.2,5299.68,22.2,81.3,1,0,124,0.0,0.0,,
19,Bordeaux,33318,Pessac,14.2,3.8,25940.0,16.6,1720.62,18.4,60.4,0,0,124,6.725,18.15,7.379,31.916666666666668
20,Bordeaux,33376,Saint-Aubin-de-Médoc,13.3,3.2,31090.0,5.9,218.53,8.2,35.2,0,0,124,15.673,30.1333333333333,17.685,57.53333333333333
21,Bordeaux,33434,Saint-Louis-de-Montferrand,12.2,5.0,22090.0,7.3,198.52,12.0,91.9,0,0,124,19.812,32.5166666666667,18.077,62.7
22,Bordeaux,33449,Saint-Médard-en-Jalles,13.7,2.4,26740.0,6.9,381.45,11.3,45.5,0,0,124,15.381,30.35,13.152,44.03333333333333
23,Bordeaux,33487,Saint-Vincent-de-Paul,11.2,7.8,22830.0,5.4,71.73,9.9,154.7,0,0,124,149.485,22.0,160.701,200.68333333333334
24,Bordeaux,33162,Eysines,13.4,4.8,23980.0,7.6,2031.17,14.9,84.2,0,0,124,8.304,20.7,8.474,38.46666666666667
25,Bordeaux,33522,Talence,14.8,5.5,24260.0,25.1,5448.8,25.5,118.1,0,0,124,5.332,16.2666666666667,5.636,32.516666666666666
26,Bordeaux,33550,Villenave-d'Ornon,13.2,3.9,23780.0,9.7,1901.41,16.1,73.2,0,0,124,12.974,22.5333333333333,7.888,39.9
27,Bordeaux,33519,Le Taillan-Médoc,12.9,3.3,27210.0,5.7,705.72,8.6,59.5,0,0,124,11.739,25.6,14.043,49.31666666666667
28,Bordeaux,33312,Parempuyre,13,4.0,23910.0,7.0,465.23,15.3,61.7,0,0,124,16.868,27.7333333333333,17.757,54.166666666666664
29,Brest,29019,Brest,11.3,6.7,21420.0,16.9,2820.59,20.4,101.4,1,0,205,0.0,0.0,,
30,Brest,29061,Gouesnou,12.3,4.3,26020.0,6.3,524.55,9.5,45.9,0,0,205,8.691,17.2,9.823,44.28333333333333
31,Brest,29011,Bohars,11.3,2.6,28470.0,5.5,495.21,7.9,30.5,0,0,205,7.44,16.1833333333333,6.8,27.466666666666665
32,Brest,29189,Plougastel-Daoulas,11.3,5.5,26580.0,5.0,287.29,7.8,37.8,0,0,205,11.592,16.1333333333333,15.599,41.3
33,Brest,29212,Plouzané,11.8,3.1,24740.0,8.8,407.04,9.9,26.3,0,0,205,18.161,24.5333333333333,15.384,54.06666666666667
34,Brest,29069,Guilers,11.7,2.9,24640.0,7.0,430.0,9.8,29.7,0,0,205,8.356,17.45,8.931,28.933333333333334
35,Brest,29075,Guipavas,11.7,4.0,25310.0,6.8,350.57,9.5,33.9,0,0,205,11.643,18.1,9.721,35.35
36,Brest,29235,Le Relecq-Kerhuon,11.9,3.2,26510.0,6.2,1842.34,10.1,46.4,0,0,205,8.564,14.6166666666667,8.773,27.266666666666666
37,Clermont-Ferrand,63019,Aulnat,10.2,5.2,20610.0,7.4,979.76,10.6,81.1,0,0,210,8.36,14.1333333333333,12.198,63.55
38,Clermont-Ferrand,63042,Blanzat,11.4,6.6,25110.0,5.2,537.43,7.4,42.0,0,0,210,8.33,15.45,12.209,69.55
