Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
1,Bordeaux,33004,Ambès,10.8,8.6,20490.0,8.0,110.97,9.7,112.4,0,0,124,28.62,32.12
2,Bordeaux,33032,Bassens,12.5,4.9,21280.0,7.7,761.36,13.8,94.3,0,0,124,9.4,15.62
3,Bordeaux,33003,Ambarès-et-Lagrave,12.1,4.5,21780.0,7.7,677.34,8.9,146.2,0,0,124,17.59,25.43
4,Bordeaux,33056,Blanquefort,12.8,3.7,24700.0,8.7,474.9,11.4,84.2,0,0,124,13.51,17.57
5,Bordeaux,33013,Artigues-près-Bordeaux,12.3,3.9,24380.0,7.1,1184.25,9.9,79.7,0,0,124,10.42,17.92
6,Bordeaux,33065,Bouliac,15.4,4.7,30540.0,6.4,503.07,13.0,19.2,0,0,124,7.91,15.0
7,Bordeaux,33039,Bègles,13.8,6.4,23360.0,10.1,3081.3,16.2,89.7,0,0,124,6.22,11.82
8,Bordeaux,33075,Bruges,13.4,4.8,25550.0,8.0,1423.59,13.7,49.3,0,0,124,888.86,505.78
9,Bordeaux,33096,Carbon-Blanc,12.7,3.1,23210.0,7.3,2128.21,10.1,73.9,0,0,124,16.5,21.31
10,Bordeaux,33119,Cenon,13.3,6.9,18920.0,11.6,4868.73,16.5,137.7,0,0,124,7.61,14.29
11,Bordeaux,33069,Le Bouscat,14.4,7.4,27570.0,6.9,4592.26,11.2,61.0,0,0,124,5.15,11.1
12,Bordeaux,33167,Floirac,13.5,7.8,20850.0,7.3,2040.11,9.9,128.7,0,0,124,5.09,10.83
13,Bordeaux,33192,Gradignan,14.2,4.0,25980.0,13.1,1635.13,16.1,56.1,0,0,124,16.15,21.07
14,Bordeaux,33200,Le Haillan,12.8,3.8,25760.0,7.4,1244.3,12.5,56.8,0,0,124,11.47,18.86
15,Bordeaux,33249,Lormont,12.8,5.0,18200.0,9.7,3147.43,12.0,154.6,0,0,124,10.84,16.22
16,Bordeaux,33273,Martignas-sur-Jalle,13.6,4.6,27750.0,7.9,297.35,12.9,27.8,0,0,124,20.73,32.35
17,Bordeaux,33281,Mérignac,14.4,3.6,24770.0,10.0,1571.14,14.5,63.4,0,0,124,9.19,16.4
18,Bordeaux,33063,Bordeaux,15.5,7.2,24870.0,17.2,5299.68,22.2,81.3,1,0,124,,
19,Bordeaux,33318,Pessac,14.2,3.8,25940.0,16.6,1720.62,18.4,60.4,0,0,124,11.66,21.02
20,Bordeaux,33376,Saint-Aubin-de-Médoc,13.3,3.2,31090.0,5.9,218.53,8.2,35.2,0,0,124,19.07,28.1
21,Bordeaux,33434,Saint-Louis-de-Montferrand,12.2,5.0,22090.0,7.3,198.52,12.0,91.9,0,0,124,15.64,25.27
22,Bordeaux,33449,Saint-Médard-en-Jalles,13.7,2.4,26740.0,6.9,381.45,11.3,45.5,0,0,124,16.46,28.45
23,Bordeaux,33487,Saint-Vincent-de-Paul,11.2,7.8,22830.0,5.4,71.73,9.9,154.7,0,0,124,153.26,101.52
24,Bordeaux,33162,Eysines,13.4,4.8,23980.0,7.6,2031.17,14.9,84.2,0,0,124,8.84,15.25
25,Bordeaux,33522,Talence,14.8,5.5,24260.0,25.1,5448.8,25.5,118.1,0,0,124,7.14,14.39
26,Bordeaux,33550,Villenave-d'Ornon,13.2,3.9,23780.0,9.7,1901.41,16.1,73.2,0,0,124,11.72,15.43
27,Bordeaux,33519,Le Taillan-Médoc,12.9,3.3,27210.0,5.7,705.72,8.6,59.5,0,0,124,14.8,23.87
28,Bordeaux,33312,Parempuyre,13,4.0,23910.0,7.0,465.23,15.3,61.7,0,0,124,16.36,22.44
29,Brest,29019,Brest,11.3,6.7,21420.0,16.9,2820.59,20.4,101.4,1,0,205,,
30,Brest,29061,Gouesnou,12.3,4.3,26020.0,6.3,524.55,9.5,45.9,0,0,205,2504.41,1468.08
31,Brest,29011,Bohars,11.3,2.6,28470.0,5.5,495.21,7.9,30.5,0,0,205,2507.37,1472.89
32,Brest,29189,Plougastel-Daoulas,11.3,5.5,26580.0,5.0,287.29,7.8,37.8,0,0,205,2510.12,1471.95
33,Brest,29212,Plouzané,11.8,3.1,24740.0,8.8,407.04,9.9,26.3,0,0,205,2520.46,1485.54
34,Brest,29069,Guilers,11.7,2.9,24640.0,7.0,430.0,9.8,29.7,0,0,205,2511.83,1476.79
35,Brest,29075,Guipavas,11.7,4.0,25310.0,6.8,350.57,9.5,33.9,0,0,205,2502.04,1464.16
36,Brest,29235,Le Relecq-Kerhuon,11.9,3.2,26510.0,6.2,1842.34,10.1,46.4,0,0,205,2505.89,1468.53
37,Clermont-Ferrand,63019,Aulnat,10.2,5.2,20610.0,7.4,979.76,10.6,81.1,0,0,210,100.62,73.78
38,Clermont-Ferrand,63042,Blanzat,11.4,6.6,25110.0,5.2,537.43,7.4,42.0,0,0,210,63.82,50.87
39,Clermont-Ferrand,63014,Aubière,11.5,7.4,24600.0,22.9,1326.1,20.1,48.3,0,0,210,5.25,11.24
40,Clermont-Ferrand,63069,Le Cendre,10.8,5.2,24080.0,6.0,1308.1,9.4,35.6,0,0,210,11.56,14.76
41,Clermont-Ferrand,63032,Beaumont,11.5,8.9,25510.0,9.3,2662.5,13.5,69.4,0,0,210,,
42,Clermont-Ferrand,63075,Chamalières,12.7,12.8,27630.0,7.9,4593.16,14.3,50.3,0,0,210,5.44,13.0
43,Clermont-Ferrand,63099,Châteaugay,11.2,8.6,26340.0,5.9,340.22,8.5,19.2,0,0,210,,
44,Clermont-Ferrand,63113,Clermont-Ferrand,11.6,8.1,20430.0,19.3,3450.28,23.1,116.6,1,0,210,,
45,Clermont-Ferrand,63070,Ceyrat,11.2,10.0,28590.0,4.7,685.27,8.4,47.1,0,0,210,7.88,17.57
46,Clermont-Ferrand,63141,Durtol,10.7,9.7,27850.0,5.2,503.75,7.1,61.4,0,0,210,6.41,14.86
47,Clermont-Ferrand,63164,Gerzat,11.2,6.1,22270.0,8.2,629.33,9.4,137.0,0,0,210,8.13,15.04
48,Clermont-Ferrand,63193,Lempdes,11.4,5.8,23620.0,10.3,704.31,12.0,49.2,0,0,210,7.84,11.04
49,Clermont-Ferrand,63254,Nohanent,10.7,6.3,27570.0,5.7,535.48,7.3,18.3,0,0,210,7.5,16.3
50,Clermont-Ferrand,63263,Orcines,9.6,8.7,29370.0,4.6,83.51,8.7,18.5,0,0,210,9.16,17.78
51,Clermont-Ferrand,63272,Pérignat-lès-Sarliève,11.2,15.6,28530.0,5.6,718.21,10.8,30.1,0,0,210,8.92,12.05
52,Clermont-Ferrand,63063,Cébazat,11.7,6.3,23990.0,5.5,894.6,9.2,74.5,0,0,210,6.38,12.95
53,Clermont-Ferrand,63307,Romagnat,10.4,7.0,25430.0,6.3,468.39,9.2,48.6,0,0,210,11.66,13.94
54,Clermont-Ferrand,63308,Royat,11.6,22.8,27950.0,7.0,667.12,13.9,76.0,0,0,210,6.89,15.76
55,Clermont-Ferrand,63345,Saint-Genès-Champanelle,10.3,8.9,27550.0,4.2,75.25,7.9,17.3,0,0,210,16.62,29.31
56,Clermont-Ferrand,63284,Pont-du-Château,9.8,6.5,24120.0,6.6,576.81,9.9,49.2,0,0,210,12.17,13.68
57,Clermont-Ferrand,63124,Cournon-d'Auvergne,11.8,5.0,23720.0,6.1,1085.65,9.4,77.7,0,0,210,13.55,18.83
58,Dijon,21105,Bressey-sur-Tille,11.4,2.1,24950.0,5.9,153.7,8.0,55.5,0,0,100,15.38,20.23
59,Dijon,21106,Bretenière,10,2.5,25070.0,6.1,152.0,7.9,9.0,0,0,100,13.28,19.03
60,Dijon,21171,Chevigny-Saint-Sauveur,12.7,3.6,23490.0,8.9,904.46,11.6,45.5,0,0,100,11.12,14.48
61,Dijon,21192,Corcelles-les-Monts,11.2,12.0,29080.0,4.7,45.03,9.2,0.0,0,0,100,8.79,14.21
