Observatoire des territoires - ANCT; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; 
Code;Libellé;Loyer d'annonce par m² charges comprises pour un appartement type du parc privé locatif 2023;Part des logements vacants 2021;Médiane du revenu disponible par UC 2020;Part des 18-24 ans 2021;Densité de population 2021;Part des ménages ayant emménagé depuis moins de 2 ans 2021;Part d'allocataires du RSA (communes) 2022
01001;L'Abergement-Clémenciat;11.9;4.7;24820;3.5;52.33;10.4;29.5
01002;L'Abergement-de-Varey;8.4;8.2;23220;4.1;29.02;6.1;0
01004;Ambérieu-en-Bugey;10.9;9.9;21070;9.5;603.82;14.7;102.1
01005;Ambérieux-en-Dombes;10.9;10.7;24380;5.6;119.31;13;4.1
01006;Ambléon;10.1;9.7;N/A - résultat non disponible;5.3;19.15;14.5;0
01007;Ambronay;9.6;4;24330;5;84.57;12.3;31.6
01008;Ambutrix;10.7;7.3;26120;6.8;147.69;11.9;0
01009;Andert-et-Condon;11.1;11.5;24410;5.3;46.67;10.1;0
01010;Anglefort;10.6;8.8;24700;5;38.4;9.7;28.3
01011;Apremont;9.4;8.6;24690;4.7;26.23;8.1;44.9
01012;Aranc;8.4;7.5;22300;2.8;15.14;6;0
01013;Arandas;8.9;10;22190;6.4;10;13;56.9
01014;Arbent;8.6;6.7;21670;6.2;145.06;7.5;42
01015;Arboys en Bugey;11.1;10.5;22960;6;29.64;11.6;25.4
01016;Arbigny;8.5;7.4;22280;3.1;26.23;4.7;0
01017;Argis;8.9;21.9;20950;5.1;55.38;6.3;59.9
01019;Armix;10.1;3.6;N/A - résultat non disponible;7.7;3.82;5;0
01021;Ars-sur-Formans;10.9;5.2;25400;6.9;272.36;12.3;10.4
01022;Artemare;9.9;15.6;20990;6.6;309.74;11.1;44.4
01023;Asnières-sur-Saône;9.6;10.8;N/A - résultat non disponible;3.9;16.38;2.9;0
01024;Attignat;11.3;5.3;23420;5.8;178.4;8.9;27
01025;Bâgé-Dommartin;9.6;6.2;23880;5.1;71.44;6.9;25.6
01026;Bâgé-le-Châtel;9.1;5.4;22100;5.8;1087.78;12.2;27
01027;Balan;13.5;5.6;24870;18.6;149.56;13.4;7.9
01028;Baneins;11.9;6.3;23400;3.7;69.78;8.4;0
01029;Beaupont;8;11.2;21260;6.1;49.65;7.9;21.8
01030;Beauregard;11.6;15.1;22780;6.6;922.22;12.5;27.8
01031;Bellignat;9.4;8.5;20180;9.3;466.15;14.4;82.4
01032;Béligneux;13.4;4.1;22610;5.8;258.2;13.4;28.9
01033;Valserhône;13.4;13;23140;6.7;260.72;13.9;71.5
01034;Belley;11;13.4;20550;6.7;412.46;14.8;60.5
01035;Belleydoux;9.4;7.7;24930;2.9;17.39;10;0
01036;Valromey-sur-Séran;9.9;2.8;23680;3.3;23.67;7;26.5
01037;Bénonces;10.7;10.6;21950;2.6;20.26;7;26.2
01038;Bény;9.4;4.4;23550;6.3;41.98;8.5;10.8
01040;Béréziat;9.2;9.6;23090;5;44.44;5.9;0
01041;Bettant;10.7;12.7;24040;5.9;220.29;10.4;30.9
01042;Bey;9.3;6.1;24960;3.4;103.57;6.3;0
01043;Beynost;12.6;6;28090;7.3;460.09;9.3;28
01044;Billiat;11.5;16.3;26950;7.5;45.69;13.5;12.6
01045;Birieux;11.9;4.2;28510;2.5;17.97;5.6;28.4
01046;Biziat;9.3;5.6;23580;5;79.3;9.4;8.6
01047;Blyes;10.7;3.3;26330;5.2;138.92;13.1;5.8
01049;La Boisse;13.3;4.6;25560;6.1;357.55;7.9;16.6
01050;Boissey;9.2;3.7;22750;3.9;42.42;12.3;0
01051;Bolozon;8;13;N/A - résultat non disponible;3.2;19.39;14.3;0
01052;Bouligneux;11.9;3.3;26030;2.4;12.53;3.6;0
01053;Bourg-en-Bresse;11.1;10;19640;10.6;1737.45;16.1;114.4
01054;Bourg-Saint-Christophe;11.9;3.7;26020;4.1;168.56;10.4;0
01056;Boyeux-Saint-Jérôme;8.4;10.1;21220;2.8;21.07;6.5;50.3
01057;Boz;9.6;5.2;23350;4.5;69.86;6.8;15.9
